time,pdcsap_flux
1442.2022348403862,1552.8197
1442.2036237229731,1560.5521
1442.2050126055594,1573.0283
1442.206401488116,1567.6469
1442.2077903707016,1573.7172
1442.2091792532883,1569.7909
1442.2105681358464,1573.4681
1442.211957018432,1585.4412
1442.2133459010183,1567.4246
1442.2147347835762,1562.8862
1442.2161236661625,1570.325
1442.217512548748,1559.3358
1442.218901431305,1566.502
1442.220290313892,1562.0492
1442.2216791964493,1569.0715
1442.2230680790349,1606.924
1442.2244569616212,1589.677
1442.225845844179,1591.432
1442.2272347267651,1576.2915
1442.2286236093516,1571.996
1442.2300124919088,1577.3518
1442.2314013744951,1593.201
1442.2327902570814,1569.4036
1442.2341791396386,1580.7523
1442.235568022225,1571.0103
1442.2369569048103,1585.3661
1442.2383457873675,1561.576
1442.2397346699547,1570.6227
1442.241123552541,1570.176
1442.2425124350975,1583.0524
1442.2439013176845,1573.6548
1442.2452902002424,1555.1837
1442.246679082828,1569.6041
1442.2480679654136,1565.9124
1442.2494568479715,1563.3562
1442.2508457305585,1573.0659
1442.252234613144,1551.6849
1442.2536234957013,1568.4597
1442.2550123782885,1570.5216
1442.2564012608746,1576.2985
1442.257790143431,1560.7942
1442.2591790260174,1548.7439
1442.2605679086037,1575.8198
1442.2619567911609,1569.8409
1442.2633456737472,1563.9412
1442.2647345563337,1565.2194
1442.2661234388906,1556.7609
1442.267512321477,1566.1841
1442.2689012040348,1562.6356
1442.2702900866211,1565.9994
1442.2716789692067,1580.1445
1442.273067851764,1564.1967
1442.274456734351,1570.1262
1442.2758456169372,1564.5255
1442.2772344994935,1570.842
1442.27862338208,1568.6401
1442.280012264667,1557.8519
1442.2814011472242,1587.7988
1442.2827900298098,1566.7325
1442.2841789123968,1569.803
1442.2855677949549,1573.7556
1442.28695667754,1556.2466
1442.2883455600966,1563.4708
1442.2897344426829,1561.4595
1442.2911233252698,1573.2594
1442.292512207827,1564.8727
1442.2939010904126,1564.1102
1442.295289972999,1582.9211
1442.2966788555568,1548.9705
1442.2980677381431,1552.173
1442.2994566207294,1561.1964
1442.3008455032866,1568.0001
1442.302234385873,1554.0343
1442.3036232684592,1555.8329
1442.3050121510164,1550.0812
1442.3064010336027,1560.4658
1442.30778991616,1560.7992
1442.3091787987469,1556.1785
1442.3105676813332,1559.5016
1442.3119565638897,1559.2336
1442.3133454464753,1556.6472
1442.3147343290625,1547.724
1442.3161232116202,1565.9158
1442.3175120942058,1549.8622
1442.3189009767914,1558.9745
1442.3202898593493,1559.0338
1442.3216787419362,1553.6658
1442.3230676244928,1564.7068
1442.324456507079,1560.4337
1442.325845389666,1556.3347
1442.3272342722232,1555.7921
1442.3286231548088,1561.944
1442.3300120373951,1553.5193
1442.331400919953,1551.0433
1442.3327898025393,1553.7308
1442.334178685125,1556.2737
1442.335567567682,1569.1993
1442.336956450269,1560.9869
1442.3383453328263,1562.1909
1442.3397342154126,1550.1257
1442.341123097999,1555.9661
1442.3425119805554,1569.6105
1442.3439008631417,1542.2885
1442.345289745729,1556.7452
1442.346678628286,1574.6168
1442.3480675108713,1566.9817
1442.3494563934576,1548.2772
1442.3508452760154,1566.5598
1442.3522341586015,1568.4835
1442.3536230411582,1574.0348
1442.3550119237452,1567.9694
1442.3564008063322,1568.129
1442.3577896888887,1562.1886
1442.3591785714743,1540.3918
1442.3605674540613,1558.1292
1442.3619563366192,1552.6771
1442.3633452192048,1569.0303
1442.364734101762,1562.3967
1442.366122984349,1573.4069
1442.3675118669353,1556.7648
1442.3689007494918,1555.749
1442.370289632078,1568.0782
1442.3716785146644,1562.0244
1442.3730673972216,1561.2085
1442.374456279808,1576.6735
1442.375845162365,1561.2494
1442.3772340449514,1554.121
1442.3786229275377,1563.5409
1442.3800118100955,1556.5813
1442.3814006926818,1575.063
1442.3827895752383,1575.5088
1442.3841784578246,1559.097
1442.3855673404116,1576.8958
1442.3869562229688,1566.6443
1442.3883451055544,1573.1815
1442.3897339881407,1570.0646
1442.3911228706986,1560.8113
1442.392511753285,1576.9365
1442.3939006358414,1564.7654
1442.3952895184275,1570.099
1442.3966784010147,1572.5355
1442.398067283572,1569.3397
1442.3994561661575,1560.8361
1442.4008450487147,1561.5067
1442.4022339313017,1576.9006
1442.403622813888,1573.3275
1442.4050116964445,1567.9774
1442.4064005790308,1569.2322
1442.407789461589,1566.7003
1442.409178344175,1568.3168
1442.4105672267613,1583.1016
1442.4119561093185,1578.6978
1442.4133449919043,1565.2296
1442.414733874462,1582.1991
1442.416122757048,1572.6312
1442.4175116396343,1570.7732
1442.4189005221915,1570.3671
1442.4202894047785,1554.3993
1442.4216782873357,1574.2224
1442.4230671699213,1569.2273
1442.424456052507,1577.4553
1442.4258449350648,1559.4071
1442.4272338176518,1563.5502
1442.4286227002085,1557.7759
1442.430011582794,1576.8098
1442.4314004653809,1573.5919
1442.4327893479388,1570.6967
